ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month,AGE_GROUP,TOTAL_BILL,AVG_BILL,TOTAL_PAYMENT,AVG_PAYMENT,CREDIT_UTILIZATION,PAYMENT_RATIO,AVG_DELAY,MAX_DELAY,NUM_DELAY_MONTHS,RECENT_DELAY_FLAG,BILL_GROWTH,PAYMENT_STD
60,400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0,1,2284140,380690.0,109029,18171.5,5.710335724160689,0.04773304274998785,0.0,0,0,0,36045,7080.259423213249
61,500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,1,109699,18283.166666666668,8816,1469.3333333333333,0.21939756120487758,0.08036463081130356,0.0,0,0,0,7277,454.8875318874619
62,70000,1,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0,2,244242,40707.0,12120,2020.0,3.4891215839773717,0.04962271180750318,-0.16666666666666666,0,0,0,69970,1421.7770570662617
63,50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,1,157674,26279.0,6125,1020.8333333333334,3.1534169316613667,0.038845726970033294,2.0,2,6,1,-3277,1218.8536280729802
64,50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,3,57884,9647.333333333334,1000,166.66666666666666,1.1576568468630628,0.01727563272004837,-1.0,0,0,0,28718,408.248290463863
65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0,4,2452,408.6666666666667,2353,392.1666666666667,0.018861393373897122,0.9592335915205871,-1.3333333333333333,-1,0,0,99,960.6082274614697
66,200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1,4,469636,78272.66666666667,9522,1587.0,2.348168259158704,0.020275233850825213,-0.5,2,2,0,144601,3273.526233284224
67,10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,4,22852,3808.6666666666665,3010,501.6666666666667,2.284971502849715,0.1317113726862994,1.0,2,3,1,-2229,884.0908701409979
68,210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,1,8589,1431.5,9198,1533.0,0.040899805239022674,1.070779976717113,-0.5,2,1,1,-3950,1517.229580518387
69,130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,1,7901,1316.8333333333333,41379,6896.5,0.06077645556572642,5.236522399392559,-0.5,2,2,1,-7509,8577.244423473077
70,20000,1,4,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0,1,88326,14721.0,3700,616.6666666666666,4.416079196040198,0.041889795872156875,0.3333333333333333,2,1,1,12583,530.722777603022
71,80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,2,2340,390.0,1950,325.0,0.029249634379570254,0.8329773601025203,-1.0,-1,0,0,390,159.21683328090657
72,320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,1,362152,60358.666666666664,13800,2300.0,1.131721463370427,0.03810544162273956,2.0,2,6,1,-5259,1556.920036482285
73,200000,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,0,2,26425,4404.166666666667,19512,3252.0,0.13212433937830312,0.7383637326875048,-0.5,2,1,0,5925,3611.2675890883525
74,290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,2,5514,919.0,5514,919.0,0.019013727538870557,0.999818676337262,-0.8333333333333334,1,1,1,0,1445.789749583251
75,340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0,2,142199,23699.833333333332,141997,23666.166666666668,0.4182311228496387,0.9985724331926864,-1.0,-1,0,0,-22772,29687.73169790287
76,20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,1,101328,16888.0,5590,931.6666666666666,5.066146692665367,0.05516683279219177,0.3333333333333333,2,1,0,-3924,1089.3560789138999
77,50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0,1,145406,24234.333333333332,6358,1059.6666666666667,2.9080618387632247,0.04372554278679844,-0.16666666666666666,0,0,0,32808,612.2027986432818
78,300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0,3,1746,291.0,1746,291.0,0.005819980600064666,0.9994275901545506,-1.0,-1,0,0,0,0.0
79,30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1,1,149186,24864.333333333332,8411,1401.8333333333333,4.972700909969667,0.05637890700932387,0.0,0,0,0,21976,1043.1299855083578
80,240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0.0,0,0.0,0.0,0.0,-1.5,1,1,1,0,0.0
81,470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0,2,614823,102470.5,21926,3654.3333333333335,1.308131259295193,0.035662238299090473,0.0,0,0,0,135365,2756.847595835988
82,360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0,1,294903,49150.5,161355,26892.5,0.8191727245202096,0.5471441553861596,-0.16666666666666666,0,0,0,23215,58810.47536536327
83,60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,1,143566,23927.666666666668,5345,890.8333333333334,2.3927267878868688,0.0372300041095795,0.0,0,0,0,6553,548.2643218983584
84,400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,3,700952,116825.33333333333,22753,3792.1666666666665,1.7523756190609523,0.03246009361540645,0.3333333333333333,2,1,0,37537,3594.143592939307
85,50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0,3,177499,29583.166666666668,6052,1008.6666666666666,3.5499090018199637,0.03409577464788732,0.0,0,0,0,29427,395.3245080521402
86,160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0,2,667013,111168.83333333333,101747,16957.833333333332,4.168805194967532,0.15254102612538867,0.0,0,0,0,9610,30887.125281687622
87,360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1,3,3510,585.0,2340,390.0,0.009749972916741899,0.6664767872401025,-0.3333333333333333,2,1,0,0,427.22359485402956
88,160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,0,2,31623,5270.5,8216,1369.3333333333333,0.1976425147342829,0.2598026815077157,-0.16666666666666666,0,0,0,3060,889.4640333744062
89,130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0,2,226534,37755.666666666664,56705,9450.833333333334,1.7425558264936423,0.2503145209349549,-0.5,0,0,0,80123,15145.841811093456
90,20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0,3,61309,10218.166666666666,6151,1025.1666666666667,3.065296735163242,0.10032621105855488,1.0,2,3,1,-3387,856.7380968923155
91,200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,4,862167,143694.5,32800,5466.666666666667,4.31081344593277,0.03804362954783754,2.0,2,6,1,-11351,476.09522856952333
92,280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,2,15360,2560.0,3968,661.3333333333334,0.05485694693947522,0.2583165158518326,-0.8333333333333334,0,0,0,7524,1619.9292165606087
93,100000,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,0,1,3555,592.5,7555,1259.1666666666667,0.03554964450355497,2.124578177727784,-2.0,-2,0,0,-2000,3084.315834454486
94,160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,0,2,4162,693.6666666666666,11018,1836.3333333333333,0.026012337422891108,2.646649051165025,-1.1666666666666667,-1,0,0,880,2952.645570783373
95,60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,0,1,197839,32973.166666666664,6261,1043.5,3.297261712304795,0.03164678528103518,0.0,0,0,0,26325,493.0560820028489
96,90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0,2,354716,59119.333333333336,11756,1959.3333333333333,3.941245097276697,0.0331419131307493,0.0,0,0,0,52890,1278.1218512593653
97,360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,0,3,58460,9743.333333333334,120613,20102.166666666668,0.16238843780989498,2.0631361078325723,-0.8333333333333334,0,0,0,-5989,25728.97828065986
98,150000,1,1,2,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0,1,479411,79901.83333333333,23841,3973.5,3.1960520263198244,0.04972966884433431,0.0,0,0,0,45221,3229.499760024763
99,50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,0,1,83794,13965.666666666666,3783,630.5,1.6758464830703386,0.04514589175965153,0.0,0,0,0,10823,528.3611454299039
100,20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1,2,93217,15536.166666666666,5685,947.5,4.660616969151542,0.060986075650625415,-0.16666666666666666,0,0,0,17823,788.4845591386048
101,140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0,2,13679,2279.8333333333335,13007,2167.8333333333335,0.09770644495396462,0.9508040935672515,-2.0,-2,0,0,-758,3975.866215891408
102,380000,2,1,2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0,1,132602,22100.333333333332,42019,7003.166666666667,0.34895171328496505,0.31687820034237535,-0.8333333333333334,0,0,0,-34137,12930.041785186417
103,480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0,5,2761015,460169.1666666667,130971,21828.5,5.752102599786251,0.047435798995732005,0.6666666666666666,2,2,0,-47892,18438.827834219832
104,50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1,1,205366,34227.666666666664,6870,1145.0,4.107237855242895,0.03345230733272629,0.0,0,0,0,20604,354.4088035023961
105,60000,2,2,2,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,0,1,342038,57006.333333333336,13517,2252.8333333333335,5.70053832436126,0.03951888527331678,1.6666666666666667,2,5,1,1380,1941.8346393724332
106,70000,2,2,2,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,0,1,32109,5351.5,28529,4754.833333333333,0.45869344723646804,0.8884771099345998,-1.5,-1,0,0,-20949,10697.076243846572
107,80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0,2,17865,2977.5,12794,2132.3333333333335,0.22330970862864213,0.716108810030225,-1.0,-1,0,0,4958,1130.3163568960094
